contentId,catchphrase
2782693,푸짐한 양의 삼겹살 백반
3037603,애월의 싱싱한 감귤 따기 체험 농장
2512237,사람이 모이면 즐거운 장날!<br>시민시장들의 축제 시민시장WEEK!
3008466,다도해를 한눈에 조망할 수 있는 전망대
3034390,안면도의 아름다운 숲과 바다를 ATV를 타고 즐겨보자 !
2616227,"인천의 백년가게, 자연발효 빵집"
129004,춘천 시민의 사랑하는 공지천 야외 미술관
2834212,20년 전통의 지역 대표 맛집
2754712,미국 감성 가득한 펍
2616111,몸보신 하기 좋은 추어탕 맛집
3017579,사계절이 아름다운 도심 근교에 위치한 무봉산
127937,고려시대 약사여래 석불입상이 모셔져 있는 사찰
231894,눈앞에 펼쳐지는 교과서 속 유물 전시장
2866048,이배재고개 끝자락에 위치한 퓨전 중화요리 전문점
577738,자연이 숨겨 놓은 마지막 휴양지
135449,부드러운 최고급 소고기 맛집
1076528,null
2568703,예술마을로 더 잘 알려진 화천읍 신읍리 동지화마을
2859034,제주 서귀포 최대 규모 감성 소품샵
2859150,동화 속 마을이 연상되는 감성 힐링 카페
138588,아름다운 제주 관광지가 인접해 있는 조용한 별장형 펜션
1272658,null
126336,무학대사가 이성계를 임금에 오르도록 기도한 곳
3014436,공간 그 이상의 경험을 할 수 있는 복합쇼핑몰
2831940,착한 가격에 한우를 먹을 수 있는 맛집
2717565,우리의 농특산물로 나누는 온정
2940414,돌솥밥과 추어탕으로 건강을 챙길 수 있는 곳
2856926,낙지 요리 맛집으로 소문난 곳
2865007,팔당 한강뷰 베이커리 카페
232277,시원하고 담백한 맛이 일품인 복요리 전문점
1594759,도망간 입맛 찾는 정갈한 한식 전문점
133832,팔당호 호수를 바라보며 식사 가능한 장어 맛집
706180,"""당신과 나의 거리"""
2541883,"강릉대도호부관아를 중심으로 공연, 체험, 전시 등 다채로운 프로그램을 제공한다."
317503,원효대사의 흔적을 찾을 수 있는 유서 깊은 신라시대의 명찰
2665245,김유정역 앞 닭갈비 맛집
2765627,가족단위 식사하기 좋은 대형 참숯갈비전문점
2904249,30시간 우려낸 진한 사골육수의 맛을 느낄 수 있는 곳
3484039,서핑 강습으로 입문하기 좋은 곳
2033483,화성[華城]의 숨결과 현대미술이 어우러지는 공존의 예술공간
2756772,동탄 치동천부근 데이트 추천 맛집
2812077,다양한 티를 즐길 수 있는 티 코스 카페
3060333,맛있기로 소문난 얼음골 사과체험농장
134089,막국수 본연의 맛을 즐길 수 있는 식당
130769,지역주민의 평생 교육을 위한 정보와 지식의 문화센터
2613450,지친 몸과 마음을 휴식하는 명상치유센터
2834842,구이와 조림이 함께 나오는 박대정식 맛집
2838935,낙동강 뷰를 한눈에 담을 수 있는 루프탑 카페
346654,"백양사의 포교당으로 출발한, 용화사"
2871243,합정역에서 즐길 수 있는 다양한 우동
3334620,대청댐 근교 대형카페
2769626,충주시에 위치한 골프장
2792245,미국 초대형 캠핑카를 경험해 볼 수 있는 곳
958429,"고요한 아침의 봄, 야생화에 스며들다"
2707930,세계 유명 건축물들을 테마별로 볼 수 있는 곳
3080735,"공연예술, 문화의 중심 대학로의 공연장"
2875455,부평 칡 냉면 원조 맛집
2913103,"럭셔리 수영장, 넓은 잔디 운동장을 갖춘 리조트형 캠핑장"
3445709,애기봉평화생태공원 전망대에서 바라보는 북한 마을과 조강
2766484,모임장소로 적합한 한정식집
3015559,다양한 어린이 놀이시설이 있는 실내테마파크
398055,평창군 용평면에 위치한 가족단위 단지형 펜션
128793,바다 한 가운데 마주 보고 있는 경관이 뛰어난 섬
2906560,"우유와 사탕수수, 꿀로 만드는 우유푸딩 전문점"
1750058,말과 함께 호흡하고 즐길 수 있는 승마클럽
3012705,배우와 관객과의 호흡으로 가득한 대학로 공연장
2774560,동물과 함께 살아가는 법을 배우는 곳
582375,30년 넘는 전통 방식의 노하우로 맛이 일품인 평창동 북악정
893974,조선시대 한옥 고택이 잘 보존된 마을
1957024,"오랜 역사가 담긴 유적, 옥천사"
987937,엄선된 재료로 떡 본연의 맛을 즐길 수 있는 곳
509257,무대를 자유롭게 변형하여 활용할 수 있는 공연장
2647687,금빛 도시 속 파란 한강으로의 여행
2831635,제주 전통의 맛과 정성이 가득한 김밥
2736658,색다른 탕수육의 맛을 느끼다!
1985767,영등포6가에 위치한 맘마쿡은 이태리 레스토랑
2894673,배달 주문도 가능한 성수동 피자 맛집
2849806,샤부샤부와 돈가스로 유명한 맛집
2792660,이국적인 분위기를 느낄 수 있는 감성 공간
1874826,위성도시 고양으로 떠나는 서울근교여행
3038449,여행의 피로를 씻어주는 족욕체험카페
2781608,1989년 개장한 테마가 있는 문화관광형 전통시장
3031918,아름다운 금광호수가 보이는 산책 코스
2798953,강원특별자치도 기념물로 지정된 절터
128892,수심이 얕고 물이 맑아 가족과 함께하기 좋은 해수욕장
129843,지역사회 주민과 학내 구성원이 함께 하는 박물관
2901910,식물과 포토존이 많은 평택 용이동 카페
130012,전통문화를 지키고 새롭게 창조하는 문화원
3116038,바퀴로 연결되는 즐거운 세상!
3413550,모던한 인테리어와 편안한 공간
2406053,진도로 들어가는 첫 번째 관문
2756677,아이들이 열광하는 백악기 공룡이 가득
127078,광주 근대문화를 느낄 수 있는  호젓한 산책길
126017,대하드라마 세트장을 품고있는 대자연 문경새재
2855779,숨쉬는 두부의 느린 멋과 맛을 대접하는 곳
2901923,고즈넉한 한옥에서 만나는 함평의 힐링 카페
2666735,음식에 이야기를 담다.
2836534,북한강이 한눈에 내려다 보이는 오랜 전통의 한정식 전문점
3303829,"6월의 토요일, 북한강 야외공연장에서 즐길 수 있는 피크닉 콘서트"
2829586,등갈비 곤드레밥 맛집
130372,다양한 문화사업에 힘쓰는 문화예술 전문기관
916103,"화장실의 변천사, 화장실의 현재와 미래를 한눈에 볼 수 있는 곳"
3000273,"몸에 닿는 햇살과 나무의 향기, 맑은 공기가 살아 숨쉬는 치유의 공간"
986011,쇼핑과 문화가 공존하는 곳
2752704,맑고 시원한 계곡에서 즐기는 휴식
130156,외교기록물을 보존관리 체제를 구축하는 곳
506788,색으로 떠나는 종이여행
2608169,붕어찜 기능을 보유한 붕어찜 전문점
1012454,남항진에서 학산 오독떼기전수관에 이르는 역사문화길
2781422,자연이 조각해 놓은 절경을 볼 수 있는 대포해안
2782542,유럽 감성의 채광 좋은 레스토랑 겸 카페
2787470,민가 몇 채가 산자락에 붙어 있는 듯한 한적한 마을
1377593,23년 전통의 명가 돼지갈비 전문점
3074623,울산 남구 궁거랑의 벚꽃 명소
2661425,숲속에서 나무를 바라보며 숙박과 힐링을 할 수 있는 곳
3013904,일 년 내내 여러 가지 농작물을 체험할 수 있는 교육농장
800008,천안에서 유명하고 전통있는 중국집
134074,늘 한결같은 맛의 정성 가득한 삼계탕을 맛보고 싶다면 !
2856723,인천의 모밀전문점
129748,예산군 문화와 예술의 중심
1942299,함경도에서 배로 물건을 싣고 와 보관하던 물류창고
2745586,아름다운 핑크뮬리가 있는 공원
1623643,다양한 독서 프로그램을 갖춘 강진 군립 도서관
2763779,옛 상주의 영광을 느껴볼 수 있는 상주의 대표 문화공간 복합단지
820607,파키스탄 전통음식을 맛볼 수 있는 곳
2512897,약초를 먹고 자란 한우를 맛볼 수 있는 식육식당
2667204,"국가지정 민간정원, 옥동 힐링가든"
2770039,다양한 어종을 만날 수 있는 낚시터
2905116,어린이와 함께 가기 좋은 과학 체험 실내 전시실
852439,몽돌로 이루어진 한적하고 조용한 아름다운 해변
2756650,짬뽕이 대표 메뉴로 여러 방송에 출연한 중화요릿집
2661876,의암호를 따라 공지천까지 달리는 자전거길
793086,조선시대 관아 건축물
2714875,오롯한 휴식의 공간
2702327,용이 선택했던 마지막 길
2556003,국내산 토종 장어구이를 맛볼 수 있는 곳
125445,8개의 정원에서 즐기는 한국정원의 모습
2900986,건강한 재료로 만들어 내는 맛있는 밥상
2747957,분단의 역사와 아름다운 자연이 이어지는 길
2637816,전주천이 내려다보이는 멋스러운 한옥 호텔
3018923,곡성 동악산의 알프스가든
2846050,자연 친화적이고 모던한 분위기의 카페
3075481,특별한 추억을 만드는 휴식처
131222,청소년들이 미래의 행복한 삶과 비전을 꿈꾸어 볼 수 있는 곳
2892193,속초 포장마차거리 신선하고 푸짐한 조개찜 전문점
137965,천혜의 아름다운 계곡과 산이 어우러져 있는 고급펜션
2610560,악어 떼가 물속으로 들어가는 형상의 산자락
3006899,지하철을 타고 가서 즐기는 서울 근교 계곡
2733411,고소하고 담백한 맛을 자랑하는 두부요리 전문점
2893509,즉석에서 뽑는 메밀 막국수 맛집
129870,안성향토문화와 정신을 계승한 열린 문화 공간
2729160,사계절 즐길 수 있는 캠핑장
404156,흑돼지구이의 풍미
2018189,캠핑과 낚시를 가족과 함께 즐길 수 있는 캠핑장
128303,청정 지역에서 즐기는 전통 농촌문화 체험
1958174,의성 김씨 4인의 학문과 덕행을 추모하기 위해 창건된 곳
2893506,쫀득한 식감과 담백한 맛으로 입맛을 돋우는 코다리 조림 전문점
812019,맛깔나는 경기 으뜸 음식점
2743201,충남 천안시 동남구에 자리 잡고 있는 글램핑장
2871479,가마솥 설농탕 전문점
2770018,산책로가 잘 갖춰진 저수지
127314,청양 칠갑산자락의 숨은 계곡 명소
2733425,즐기며 배우는 공간
2792871,고된 일상에 지친 사람들에게 선물 같은 휴식 공간
2633896,사계절 내내 아름다운 가산수피아
131760,동해바다를 바라보며 라운딩 할 수 있는 골프장
802844,숲속 걷기를 통해 힐링이 되는 공간
1907645,다양한 발명교육의 기회를 제공하고 있는 체험관
2792767,피톤치드 향 가득한 힐링 공간
2728915,시원한 폭포와 함께 즐기는 캠핑
126795,옛 법식을 지니고 있는 모범적인 고택
2718272,몸에 나쁜 것은 제로!
615222,폐교에서 탄생한 지역 문화 예술 공간
3351160,숨겨진 보석같은 아름다운 섬
3488940,"한류 아티스트와 브랜드, 전문가들이 한 데 모이는 대규모 K-컬처 축제"
3033176,양주와 은평구민이 함께 공유하는 생활체육공원
139054,스키장과 가까운 숙소
2660612,다양한 꽃구경하러 오세요!
3082020,퓨전 음식을 즐길 수 있는 젊은 감성의 음식점
2792254,"앞으로는 치악산 자락이, 뒤로는 감악산 자락이 감싸는 곳"
2611735,도심 속 평화로운 휴식공간
131014,온가족이 함께 즐기는 온천워터파크
2869549,스시 오마카세를 즐길 수 있는 곳
2831622,바다가 보이는 서귀포 한옥 베이커리 카페
721244,지친 체력이 활기를 돋아주는 오리고기 전문 식당
623666,억새 숲 쉼과 치유가 있는 친환경 생태문화예술축제
2804387,객실 아로마 디퓨징으로 활기와 숙면을 한 번에!
2784777,불향이 가득하고 매콤한 닭발을 맛볼 수 있는 곳
2837268,2대째 이어오는 토종순대 전문점
2372228,한국 석조 전문박물관
2833275,경호강변 소나무가 아름다운 카페
127219,소원이 이루어지는 황금법당 수국사
2710838,캠핑과 서핑을 한번에 즐길 수 있는 양양 해변
2827341,"문막농협이 주최하는 원주쌀 토토미와 찰옥수수 축제, 공연과 할인행사, 전국택배"
1627356,망월산 정상을 돌로 둘러쌓은 성곽
2726716,고사포해수욕장 인근 야영장
3417668,단양 고수동굴 수제마늘떡갈비 맛집
2903791,공군사관학교 인근 순댓국 맛집
2852661,반찬 하나하나 정성스러운 맛의 시골 밥집
2733394,구 광양군청에 위치한 역사문화관
2894118,다채로운 차(TEA) 생활의 즐거움
2876660,수제 딸기 아이스크림을 맛볼 수 있는 한옥 카페
125703,수심이 얕고 파도가 높아 물놀이와 서핑을 즐길 수 있는 곳
2753729,드넓은 구릉지에 조성된 코스
2670558,천만송이 천일홍 축제의 장
2605337,나만의 커피 맛을 선물하다
2832723,낙동강 뷰가 한눈에 들어오는 카페
2846042,여러 가지 디저트와 음료가 있는 대규모 카페
2741542,푸르른 자연을 만끽하며 캠핑을 즐기다
2764008,폐기물의 순환 체계 구축과 시민 환경교육센터
2605808,문화예술의 연결과 재탄생을 의미하는 공간
2850297,데이트 코스로 좋은 천안 백석동 카페
3085018,편안한 휴식을 취할 수 있는 숙박시설
2039891,각양각색의 즐거움
2741607,부천의 상설 재래시장
1983747,향토음식 전문점
2650230,실험적인 동시대적 ‘융합예술 플랫폼’ 공간
127761,여덟마리 새가 내려앉아 있는 듯한 멀베리의 섬
125624,고위평탄면이 발달한 산
2608888,달빛 아래 역사의 향기를 느끼며 문화재 이야기를 만나보기
2002485,동물을 만날 수 있는 가족나들이 장소 추천
1395566,상허 이태준이 문학 작품을 집필한 곳에서 차를 마시다
2738779,사랑하는 반려견과 함께 힐링할 수 있는 공간
2814159,선조들의 누정문화가 살아 숨 쉬는 공간
127394,아름다운 자연이 마음을 치유해주는 곳
3079546,내설악에 위치한 대규모 캠프형 수련시설
2773621,38선에 위치한 작은 규모의 항
130733,강화 화문석의 우수성을 알리고 발전시키는 곳
127324,덕진 일가족의 충·효·열을 기리다
1955058,조선시대부터 오늘날까지 지방 교육기관으로 활용되는 곳
3011379,K-Culture 뿌리를 만나다
1281477,전객실 오션뷰! 안면도 오션빌리지펜션
2823085,한·중·일 3국 전통주를 한자리에
2892320,육즙이 풍성한 만두 맛집
2904863,거제 앞바다의 청정 공기과 함께 즐기는 수제 양념갈비의 참맛
2732565,고즈넉한 분위기의 어항
2763397,울창한 숲과 맑은 계곡이 있는 글램핑장
1866864,추어탕과 어죽 전문 식당
3076337,꽃비 흩날리는 핑크빛 터널속으로
2926577,와인 마시기 좋은 강릉
3035970,"축구, 야구 등 각종 스포츠와 자연을 즐길 수 있는 휴식 공간"
2419040,천혜의 자연속에서 힐링할 수 있는 곳
126359,천불천탑을 세워 중생들의 안녕을 빈 비보사찰
2549205,용의 전설이 살아있는 숲 속에서 즐기는 힐링
2820027,청주시 스포츠관광을 선도하는 액티비티 전문센터
1963738,매콤하게 양념한 대구식 소갈비
2872610,"붕장어회, 장어구이 전문점"
127956,백두산의 신비로움을 간직한 온천
2816982,따뜻하고 포근한 분위기의 인천 아라뱃길 대표 디저트 카페
2774498,계절 상관없이 물놀이 원해? 하이원해! 하이원워터월드로
137505,마음을 편하게 해주는 숙소
2943607,제주도 최대 휴애리 유채꽃 축제
2794614,지리산의 기운이 이어지는 명당자리로 새 삶을 시작하는 터전
2847862,벽돌로 지어진 감각적인 공간
2838291,자연과 함께 즐기는 우이동 계곡 카페
2848415,구름산 입구의 보리밥 정식 맛집
1954350,화천군의 조선시대 국립교육기관
1067369,"우리나라 최초의 토기와 철기, 가야금 문화를 찬란하게 꽃피웠던 대가야의 역사"
2579894,통영의 자연환경과 최고의 서비스를 갖춘 호텔
629723,좋은 가격으로 횡성 한우를 즐길 수 있는 곳
2906596,흑염소 수육과 흑염소탕이 별미
2015628,어름치마을 대표 숙박지
2844493,분당 정자동에 있는 초밥전문점
125835,괴산 8경의 수려한 자연경관
130807,다양한 문화생활을 즐길 수 있는 공간
2808033,향긋한 곤드레가 듬뿍!
129378,청정한 자연환경이 갖추어진 체험마을
2729347,산과 계곡을 충분히 느낄 수 있는 캠핑장
126143,아름다운 경치와 바다 위 해상산책로가 조화를 이루는 삼사해상공원
2719566,호국영웅들과 역사를 기억하는 곳
2775636,아산의 힐링 명소
129560,5억 3천만 년 동안 외부와 단절되어 있던 찬란한 자태
2866060,자연 속 흙내음을 가득 품은 오아시스
129241,낮은 구릉에 있는 삼국시대의 고분
2807129,저렴한 가격으로 다양한 메뉴를 즐길 수 있는 분식집
626298,23년 전통의 회 전문점
126364,임진왜란 때 승병 기지의 역할을 했던 절
402976,야생초를 이용하여 만든 한정식 코스 요리 전문점
2805782,아이돌 뮤직비디오 세트장이 연상되는 카페
2743792,넓은 계곡이 있는 야영장
2774686,원주 치악산 맛집 시원한 불고기 막국수
132409,전국 최초의 주말 관광형 시장
2855355,건강한 재료로 만드는 달콤한 행복
2769780,아름다운 그림들을 만날 수 있는 벽화마을
1624083,무안지역의 교육과 교화를 위한 기관
1196134,청평호수를 바라보며 여름보양식으로 원기충전
2868869,따끈한 감자적과 매콤한 닭발 맛집
2871246,강릉 현지인 추천 장칼국수 분식집
2850459,"아침 일찍 문 여는 냉면, 석갈비 맛집"
2874683,세련된 분위기가 느껴지는 대형 호텔
2746599,도심에서 벗어나 누려보는 자유
2366500,대구 남구 지역의 경관이 한눈에 보이는 곳
2820893,귀농인의 삶을 다양하게 살피는 곳
2523151,채움과 비움의 복합 휴양공간
945513,1933년에 건립된 인천의 대표적 행정중심지
2723320,화사한 수국 꽃송이가 가득한 아름다운 정원
131369,가로림만 한가운데 선착장에서 즐기는 낚시
2765136,밤 하늘 별천지인 지암계곡에 인접한 글램핑장
126479,기묘한 바위가 한 폭의 산수화 같은 서울의 바위산
2782767,바다가 보이는 송정동의 기차역
3075035,반려견과 함께하는 캠핑장이며 당일치기도 가능한 곳
2902774,벚꽃축제 전농로에 위치한 핸드드립 커피전문점
1059890,기반산 아래 자리한 아름다운 자연 휴양림
2766397,화사한 장미를 만나볼 수 있는 공원
3059362,직접 기른 흑돼지 중 최상급만 선별 제공하는 제주 협재 흑돼지 맛집
129521,자연을 기단으로 삼아 쌓아 올린 통일신라의 석탑
2407328,메타세쿼이아 길 아래로 펼쳐진 연꽃이 아름다운 공원
127307,합정동에 위치하고 있는 정자로서 서울시 기념물
2860665,수제햄으로 요리한 부대찌개가 별미
1937080,객실에 앉아서 파도소리를
2929993,해산물이 가득한 짬뽕맛집
2739403,메밀의 본연의 맛을 느끼다
2705223,도심 속에서 만나보는 장미공원
125537,천년 역사의 영험한 은행나무가 있는 고찰
133547,계곡 옆에서 즐기는 영양 가득한 식사
2892995,짜장면과 탕수육이 맛있는 영암 중식당
3015936,경계없는 아름다움(Beauty without Boundaries)
2758373,"자연, 사람, 음악이 함께하는 소풍같은 음악축제"
2547343,소중한 사람과 같이 걸을만한 곳
126582,자연과 함께 하는 휴식 공간
2595872,"알칼리성 온천수를 자랑하는 연산온천, 힐링하러 오세요~"
2736049,밤일마을 매콤한 명태조림 맛집
2720650,"새로운 라이프스타일 문화가 시작되는 곳, 피아크"
2857216,숙성시켜 맛좋은 한우 한돈!
2865788,마산어시장 장어 맛집
2755817,도심을 떠나 자연을 즐길 수 있는 곳
2747141,쾌적한 환경에서 사랑하는 반려견과
228913,"사계절 아름다운 절경을 간직한 지리산,  수정처럼 맑은 지리산과 역사체험의 현장, 대자연의 감동이 함께 !"
1963007,부평족발골목에 위치한 족발 맛집
2864583,별빛 내린천 수변무대에서 진행되는 행사
125654,한탄강 물줄기 중 가장 아름다운 계곡
2743748,금호동의 랜드마크이며 맛과 정을 느낄 수 있는 친서민적 시장
2857941,50년 전통의 즉석 떡볶이 맛집
125266,인공림과 자연림이 조화로운 휴양림
2383728,아프리카 문화 체험 공간
2751294,한불 수교 100주년을 기념하여 지어진 사찰
2893541,몸이 건강해지는 서오능 추어탕 맛집
2860439,청주 이탈리아 요리로 유명한 곳
3080434,대구 신서 혁신도시의 조용하고 한적한 공원
3012037,반려동물과 함께 보내는 행복한 시간
2912247,바스크 치즈케이크 등 각종 빵 맛집
702511,마을을 지켜주는 500년 된 신성한 나무
3014406,각종 스포츠와 놀이시설이 있는 다목적공원
2874553,카페와 축산물도매센터가 함께 있는 한옥 정육식당
2782834,"통영의 문화, 역사가 녹여진 길을 걷는 코스"
2759120,"유령, 공포를 주제로 한 제주 테마파크"
2865258,"노원 북 페스티벌(Book Festival) : 다시, 가족"
2815713,아름다운 풍경을 보며 즐기는 커피
3031309,좌대낚시터로 인기가 많은 곳
2570330,다양한 체험학습 프로그램을 갖춘 숲 속 별장
2458633,송어 빙어 낚시 축제<br>얼음두께로 인한 행사 연기 12.31~
2893906,바다를 보며 식사도 할 수 있는 디저트 카페
3056221,도심속 힐링 및 체육활동 공간
3015858,인천공항과 비행기의 이착륙을 볼 수 있는 색다른 경험
2620019,세계의 그림책 일러스트
2755008,즐길거리가 있는 공간
2753184,저렴한 가격에 친절하고 깨끗하게 관리되는 캠핑장
1624631,마을을 지키던 500년 역사의 천연기념물
2927470,무한리필 간장게장 맛집
3470738,"남해 마늘, 시금치, 고사리 그리고 맥주와 함께하는 달리기"
2717412,지역주민들과 만들어가는 지속 가능한 관광
130565,편운 조병화 시인의 작품을 전시하는 문학기념관
1685488,풍류문화를 재현하는 축제
136215,경주 관광의 중심지 보문 종합 관광단지에 위치한 콘도
2755793,감칠맛 나는 바비큐
2815204,"게임 개발사와 퍼블리셔, 게이머와 인플루언서가 한 자리에 모이는 종합 게임쇼"
1845253,교통약자를 대상으로 쉽고 재미있게 안전교육을 받을 수 있는 곳
2781824,100% 국내산 신선육
2869186,육즙 가득 스테이크 맛집
2762903,천안 걷기 좋은 공원
1772317,가족과 함께 가기 좋은 일식 전문점
2876661,직화 주꾸미 볶음과 파스타를 맛볼 수 있는 곳
2714724,동해 바다를 품은 감성 아쿠아리움
2757831,도시주민들의 아늑한 휴식처
2545984,이팝나무의 아름다운 운치를 즐길 수 있는 명소
318340,동학농민군의 은신처가 되었던 호국 도량
2843183,7가지 카스테라 크림빵이 유명한 담양 카페
812156,정갈한 반찬들과 즐기는 돼지고기 요리 맛집
2049706,전주 한옥마을 한가운데 자리한 2층 한옥
2912461,향어회와 송어회 맛집으로 이름 높은 곳
2862520,캠핑 분위기를 즐길 수 있는 고깃집
1978176,가족과 함께하면 좋은 코스
3025397,이순신 처가의 애국심을 기리기 위한 교육관
2554145,6070년대 달동네 서민의 생활상을 테마로 한 체험 중심의 박물관
2853997,줄서서 먹는 상암동 초밥 맛집
2774561,최신 장비와 자연형 교장을 갖춘 레포츠 전문 시설
3407187,번잡한 도시 생활 밖에서 힐링을 즐기다
2612869,역사 속에서 함께 떠나는 여행
2821071,"아름다운 소도시, 영주를 한눈에 담다"
3459774,고창의 신선한 야끼니꾸 맛집
1186650,담양 대나무의 다채로운 상품 가치 개발의 선두주자
2869690,민물 매운탕이 맛있는 노포 맛집
231912,"매천 황현(1855~1910) 선생을 모신 사당, 매천사"
2481445,애견문화행사
